"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"470",392,486,579,853,1025,19,"147","2014"
"471",423,496,625,866,869,19,"149","2014"
"472",392,449,579,721,1025,19,"151","2014"
"473",525,631,783,1090,1161,19,"153","2014"
"474",470,629,790,1059,1177,19,"155","2014"
"475",437,516,645,847,898,19,"157","2014"
"476",392,469,579,726,878,19,"159","2014"
"477",347,434,579,750,774,19,"161","2014"
"478",431,533,683,921,969,19,"163","2014"
"479",392,447,579,750,870,19,"165","2014"
"480",392,457,579,794,797,19,"167","2014"
"481",491,575,717,1014,1186,19,"169","2014"
"482",404,441,596,746,871,19,"171","2014"
"483",392,488,579,853,856,19,"173","2014"
"484",392,432,579,777,945,19,"175","2014"
"485",392,488,579,813,816,19,"177","2014"
"486",420,495,650,830,869,19,"179","2014"
"487",525,631,783,1090,1161,19,"181","2014"
"488",429,512,645,950,1086,19,"183","2014"
"489",392,428,579,853,856,19,"185","2014"
"490",466,469,579,823,858,19,"187","2014"
"491",392,460,579,853,886,19,"189","2014"
"492",425,428,579,757,1025,19,"191","2014"
"493",414,541,696,914,1027,19,"193","2014"
"494",383,488,579,733,774,19,"195","2014"
"495",392,456,579,721,774,19,"197","2014"
"496",415,452,612,853,856,19,"1","2015"
"497",402,438,593,739,819,19,"3","2015"
"498",402,500,593,874,907,19,"5","2015"
"499",435,438,593,752,792,19,"7","2015"
"500",402,478,593,739,979,19,"9","2015"
"501",456,507,626,813,998,19,"11","2015"
"502",463,537,674,895,1194,19,"13","2015"
"503",376,467,632,829,981,19,"15","2015"
"504",414,446,603,824,827,19,"17","2015"
"505",443,446,593,768,962,19,"19","2015"
"506",406,472,600,755,873,19,"21","2015"
"507",402,500,593,874,905,19,"23","2015"
"508",402,454,593,803,806,19,"25","2015"
"509",469,472,593,739,847,19,"27","2015"
"510",396,485,593,802,854,19,"29","2015"
"511",433,472,639,827,902,19,"31","2015"
"512",390,485,656,858,877,19,"33","2015"
"513",402,445,593,739,792,19,"35","2015"
"514",402,482,593,874,877,19,"37","2015"
"515",451,492,666,829,1180,19,"39","2015"
"516",402,438,593,801,962,19,"41","2015"
"517",420,500,593,836,959,19,"43","2015"
"518",406,524,656,831,1044,19,"45","2015"
"519",402,500,593,765,1050,19,"47","2015"
"520",528,634,787,1095,1167,19,"49","2015"
"521",419,496,619,771,855,19,"51","2015"
"522",442,465,593,874,1050,19,"53","2015"
"523",479,486,593,863,884,19,"55","2015"
"524",497,500,677,843,911,19,"57","2015"
"525",413,450,609,856,864,19,"59","2015"
"526",459,568,737,988,1147,19,"61","2015"
"527",402,470,593,750,819,19,"63","2015"
"528",369,499,593,762,802,19,"65","2015"
"529",402,458,593,835,838,19,"67","2015"
"530",435,438,593,828,1014,19,"69","2015"
"531",402,481,593,825,904,19,"71","2015"
"532",402,438,593,739,1050,19,"73","2015"
"533",463,537,674,895,1194,19,"75","2015"
"534",528,634,787,1095,1167,19,"77","2015"
"535",436,476,644,802,1052,19,"79","2015"
"536",402,438,593,739,862,19,"81","2015"
"537",402,457,593,741,792,19,"83","2015"
"538",480,642,807,1082,1202,19,"85","2015"
"539",406,483,600,832,835,19,"87","2015"
"540",402,438,593,739,792,19,"89","2015"
"541",402,438,593,836,839,19,"91","2015"
"542",402,450,593,788,792,19,"93","2015"
"543",402,467,593,874,1018,19,"95","2015"
"544",402,500,593,874,877,19,"97","2015"
"545",390,502,656,833,920,19,"99","2015"
"546",461,508,681,848,910,19,"101","2015"
"547",526,630,802,1182,1420,19,"103","2015"
"548",369,459,621,856,971,19,"105","2015"
"549",402,450,593,825,828,19,"107","2015"
"550",402,438,593,788,830,19,"109","2015"
"551",408,445,602,826,829,19,"111","2015"
"552",443,551,745,1009,1123,19,"113","2015"
"553",436,481,643,801,993,19,"115","2015"
"554",402,438,593,779,997,19,"117","2015"
"555",402,494,593,739,1015,19,"119","2015"
"556",528,634,787,1095,1167,19,"121","2015"
"557",464,467,602,770,926,19,"123","2015"
"558",553,563,684,852,1211,19,"125","2015"
"559",449,521,641,827,911,19,"127","2015"
"560",480,642,807,1082,1202,19,"129","2015"
"561",402,500,593,874,877,19,"131","2015"
"562",402,438,593,792,795,19,"133","2015"
"563",402,438,593,739,819,19,"135","2015"
"564",435,438,593,863,866,19,"137","2015"
"565",499,545,737,1011,1092,19,"139","2015"
"566",440,482,593,859,862,19,"141","2015"
"567",427,514,630,785,842,19,"143","2015"
"568",402,463,593,807,810,19,"145","2015"
"569",402,498,593,874,1050,19,"147","2015"
"570",432,506,637,882,886,19,"149","2015"
"571",402,460,593,739,1050,19,"151","2015"
"572",528,634,787,1095,1167,19,"153","2015"
"573",480,642,807,1082,1202,19,"155","2015"
"574",442,523,653,858,910,19,"157","2015"
"575",402,481,593,744,900,19,"159","2015"
"576",355,444,593,768,792,19,"161","2015"
"577",448,554,710,957,1008,19,"163","2015"
"578",406,462,599,776,900,19,"165","2015"
"579",402,468,593,813,816,19,"167","2015"
"580",505,591,737,1043,1220,19,"169","2015"
"581",413,450,609,763,890,19,"171","2015"
"582",402,500,593,874,877,19,"173","2015"
"583",402,442,593,795,968,19,"175","2015"
"584",402,500,593,833,836,19,"177","2015"
"585",434,512,672,858,898,19,"179","2015"
"586",528,634,787,1095,1167,19,"181","2015"
"587",411,491,619,912,1042,19,"183","2015"
"588",402,438,593,874,877,19,"185","2015"
"589",477,480,593,843,879,19,"187","2015"
"590",402,471,593,874,907,19,"189","2015"
"591",439,442,598,782,1059,19,"191","2015"
"592",421,550,708,929,1045,19,"193","2015"
"593",392,500,593,751,792,19,"195","2015"
"594",402,467,593,739,792,19,"197","2015"
"595",438,462,619,768,848,19,"1","2016"
"596",438,462,619,902,1016,19,"3","2016"
"597",438,462,619,801,856,19,"5","2016"
"598",438,462,619,768,848,19,"7","2016"
"599",438,471,619,878,1038,19,"9","2016"
"600",478,481,619,847,993,19,"11","2016"
"601",478,569,729,972,1199,19,"13","2016"
"602",423,524,633,864,868,19,"15","2016"
"603",450,493,649,886,890,19,"17","2016"
"604",479,483,646,882,885,19,"19","2016"
"605",471,483,624,869,955,19,"21","2016"
"606",491,495,619,874,877,19,"23","2016"
"607",438,535,619,831,848,19,"25","2016"
"608",485,488,619,794,854,19,"27","2016"
"609",438,518,619,799,892,19,"29","2016"
"610",455,481,644,853,892,19,"31","2016"
"611",423,514,686,903,1029,19,"33","2016"
"612",438,462,619,782,852,19,"35","2016"
"613",438,511,619,845,848,19,"37","2016"
"614",426,516,690,861,1205,19,"39","2016"
"615",438,462,619,890,1081,19,"41","2016"
"616",397,519,619,834,948,19,"43","2016"
"617",427,504,674,880,1029,19,"45","2016"
"618",438,535,619,768,848,19,"47","2016"
"619",577,682,844,1149,1249,19,"49","2016"
"620",446,471,631,783,865,19,"51","2016"
"621",438,462,619,845,848,19,"53","2016"
"622",476,479,619,856,1005,19,"55","2016"
"623",485,520,696,883,1018,19,"57","2016"
"624",442,478,625,799,957,19,"59","2016"
"625",440,528,707,911,1043,19,"61","2016"
"626",438,490,619,845,848,19,"63","2016"
